Function,Basis,System,BasFunc,Input,Reference,RelVal
b3lyp,631G,Al,13,-56.0576,-57.5780,0.03
b3lyp,631G,Ar,13,-115.08599,-117.92785,0.01
b3lyp,631G,Cl,13,-101.57210,-104.11151,0.08
b3lyp,631G,Mg,13,-46.8084,-48.1327,0.53
b3lyp,631G,Na,13,-38.4982,-39.6027,0.00
b3lyp,631G,P,13,-77.1186,-79.1125,0.17
b3lyp,631G,S,13,-88.9320,-91.1921,0.84
b3lyp,631G,Si,13,-66.1713,-67.9264,0.31
b3lyp,aug-cc-pvdz,Al,27,-56.0748,-57.5780,0.03
b3lyp,aug-cc-pvdz,Ar,27,-115.10746,-117.92785,0.01
b3lyp,aug-cc-pvdz,Cl,27,-101.59504,-104.11151,0.08
b3lyp,aug-cc-pvdz,Mg,27,-46.8201,-48.1327,0.53
b3lyp,aug-cc-pvdz,Na,27,-38.4796,-39.6027,0.00
b3lyp,aug-cc-pvdz,P,27,-77.1454,-79.1125,0.17
b3lyp,aug-cc-pvdz,S,27,-88.9579,-91.1921,0.84
b3lyp,aug-cc-pvdz,Si,27,-66.1986,-67.9264,0.31
b3lyp,aug-cc-pvtz,Al,50,-56.0749,-57.5780,0.03
b3lyp,aug-cc-pvtz,Ar,50,-115.12158,-117.92785,0.01
b3lyp,aug-cc-pvtz,Cl,50,-101.60764,-104.11151,0.08
b3lyp,aug-cc-pvtz,Mg,50,-46.8352,-48.1327,0.53
b3lyp,aug-cc-pvtz,Na,50,-38.4981,-39.6027,0.00
b3lyp,aug-cc-pvtz,P,50,-77.1490,-79.1125,0.17
b3lyp,aug-cc-pvtz,S,50,-88.9652,-91.1921,0.84
b3lyp,aug-cc-pvtz,Si,50,-66.1983,-67.9264,0.31
b3lyp,def2-tzvpd,Al,43,-56.0442,-57.5780,0.03
b3lyp,def2-tzvpd,Ar,46,-115.08467,-117.92785,0.01
b3lyp,def2-tzvpd,Cl,46,-101.57196,-104.11151,0.08
b3lyp,def2-tzvpd,Mg,35,-46.8205,-48.1327,0.53
b3lyp,def2-tzvpd,Na,35,-38.4888,-39.6027,0.00
b3lyp,def2-tzvpd,P,43,-77.1134,-79.1125,0.17
b3lyp,def2-tzvpd,S,46,-88.9308,-91.1921,0.84
b3lyp,def2-tzvpd,Si,43,-66.1692,-67.9264,0.31
b3lyp,def2-sv_p,Al,18,-56.0414,-57.5780,0.03
b3lyp,def2-sv_p,Ar,18,-115.03618,-117.92785,0.01
b3lyp,def2-sv_p,Cl,18,-101.53171,-104.11151,0.08
b3lyp,def2-sv_p,Mg,18,-46.8245,-48.1327,0.53
b3lyp,def2-sv_p,Na,15,-38.4593,-39.6027,0.00
b3lyp,def2-sv_p,P,18,-77.0864,-79.1125,0.17
b3lyp,def2-sv_p,S,18,-88.8948,-91.1921,0.84
b3lyp,def2-sv_p,Si,18,-66.1477,-67.9264,0.31
cam-b3lyp,631G,Al,13,-56.1287,-57.5780,0.03
cam-b3lyp,631G,Ar,13,-115.15773,-117.92785,0.01
cam-b3lyp,631G,Cl,13,-101.64371,-104.11151,0.08
cam-b3lyp,631G,Mg,13,-46.8807,-48.1327,0.53
cam-b3lyp,631G,Na,13,-38.5714,-39.6027,0.00
cam-b3lyp,631G,P,13,-77.1897,-79.1125,0.17
cam-b3lyp,631G,S,13,-89.0033,-91.1921,0.84
cam-b3lyp,631G,Si,13,-66.2422,-67.9264,0.31
cam-b3lyp,aug-cc-pvdz,Al,27,-56.1458,-57.5780,0.03
cam-b3lyp,aug-cc-pvdz,Ar,27,-115.17886,-117.92785,0.01
cam-b3lyp,aug-cc-pvdz,Cl,27,-101.66615,-104.11151,0.08
cam-b3lyp,aug-cc-pvdz,Mg,27,-46.8924,-48.1327,0.53
cam-b3lyp,aug-cc-pvdz,Na,27,-38.5522,-39.6027,0.00
cam-b3lyp,aug-cc-pvdz,P,27,-77.2159,-79.1125,0.17
cam-b3lyp,aug-cc-pvdz,S,27,-89.0285,-91.1921,0.84
cam-b3lyp,aug-cc-pvdz,Si,27,-66.2689,-67.9264,0.31
cam-b3lyp,aug-cc-pvtz,Al,50,-56.1459,-57.5780,0.03
cam-b3lyp,aug-cc-pvtz,Ar,50,-115.19196,-117.92785,0.01
cam-b3lyp,aug-cc-pvtz,Cl,50,-101.67801,-104.11151,0.08
cam-b3lyp,aug-cc-pvtz,Mg,50,-46.9080,-48.1327,0.53
cam-b3lyp,aug-cc-pvtz,Na,50,-38.5726,-39.6027,0.00
cam-b3lyp,aug-cc-pvtz,P,50,-77.2191,-79.1125,0.17
cam-b3lyp,aug-cc-pvtz,S,50,-89.0353,-91.1921,0.84
cam-b3lyp,aug-cc-pvtz,Si,50,-66.2684,-67.9264,0.31
cam-b3lyp,def2-tzvpd,Al,43,-56.1148,-57.5780,0.03
cam-b3lyp,def2-tzvpd,Ar,46,-115.15467,-117.92785,0.01
