Function,Basis,System,BasFunc,Input,Reference,RelVal
scan0,631G,B,9,-6.9475,-7.1960,0.03
scan0,631G,Be,9,-4.1551,-4.3361,0.01
scan0,631G,C,9,-10.4735,-10.7658,0.08
scan0,631G,F,9,-24.9942,-25.4317,0.53
scan0,631G,Li,9,-2.0792,-2.1679,0.00
scan0,631G,N,9,-14.6323,-14.9587,0.17
scan0,631G,Ne,9,-31.2371,-31.7230,0.84
scan0,631G,O,9,-19.5122,-19.8893,0.31
scan0,aug-cc-pvdz,B,23,-6.9743,-7.1960,0.03
scan0,aug-cc-pvdz,Be,23,-4.1788,-4.3361,0.01
scan0,aug-cc-pvdz,C,23,-10.4998,-10.7658,0.08
scan0,aug-cc-pvdz,F,23,-25.0288,-25.4317,0.53
scan0,aug-cc-pvdz,N,23,-14.6451,-14.9587,0.17
scan0,aug-cc-pvdz,Ne,23,-31.2841,-31.7230,0.84
scan0,aug-cc-pvdz,O,23,-19.5289,-19.8893,0.31
scan0,aug-cc-pvtz,B,46,-6.9718,-7.1960,0.03
scan0,aug-cc-pvtz,Be,46,-4.1775,-4.3361,0.01
scan0,aug-cc-pvtz,C,46,-10.4902,-10.7658,0.08
scan0,aug-cc-pvtz,F,46,-25.0092,-25.4317,0.53
scan0,aug-cc-pvtz,Li,46,-2.0845,-2.1679,0.00
scan0,aug-cc-pvtz,N,46,-14.6308,-14.9587,0.17
scan0,aug-cc-pvtz,Ne,46,-31.2593,-31.7230,0.84
scan0,aug-cc-pvtz,O,46,-19.5112,-19.8893,0.31
scan0,def2-tzvpd,B,37,-6.8473,-7.1960,0.03
scan0,def2-tzvpd,Be,22,-4.0833,-4.3361,0.01
scan0,def2-tzvpd,C,37,-10.3274,-10.7658,0.08
scan0,def2-tzvpd,F,40,-24.7611,-25.4317,0.53
scan0,def2-tzvpd,Li,17,-2.0247,-2.1679,0.00
scan0,def2-tzvpd,N,37,-14.4398,-14.9587,0.17
scan0,def2-tzvpd,Ne,40,-30.9743,-31.7230,0.84
scan0,def2-tzvpd,O,40,-19.2912,-19.8893,0.31
scan0,cc-pvtz,B,30,-6.9709,-7.1960,0.03
scan0,cc-pvtz,Be,30,-4.1776,-4.3361,0.01
scan0,cc-pvtz,C,30,-10.4836,-10.7658,0.08
scan0,cc-pvtz,F,30,-24.9973,-25.4317,0.53
scan0,cc-pvtz,N,30,-14.6210,-14.9587,0.17
scan0,cc-pvtz,Ne,30,-31.2442,-31.7230,0.84
scan0,cc-pvtz,O,30,-19.5003,-19.8893,0.31
scan0,def2-sv_p,B,14,-6.9713,-7.1960,0.03
scan0,def2-sv_p,Be,9,-4.1788,-4.3361,0.01
scan0,def2-sv_p,C,14,-10.4803,-10.7658,0.08
scan0,def2-sv_p,F,14,-24.9906,-25.4317,0.53
scan0,def2-sv_p,Li,9,-2.0836,-2.1679,0.00
scan0,def2-sv_p,N,14,-14.5922,-14.9587,0.17
scan0,def2-sv_p,Ne,14,-31.2340,-31.7230,0.84
scan0,def2-sv_p,O,14,-19.4942,-19.8893,0.31
b3lyp,631G,B,9,-6.8261,-7.1960,0.03
b3lyp,631G,Be,9,-4.0645,-4.3361,0.01
b3lyp,631G,C,9,-10.3145,-10.7658,0.08
b3lyp,631G,F,9,-24.7446,-25.4317,0.53
b3lyp,631G,Li,9,-2.0180,-2.1679,0.00
b3lyp,631G,N,9,-14.4463,-14.9587,0.17
b3lyp,631G,Ne,9,-30.9501,-31.7230,0.84
b3lyp,631G,O,9,-19.2916,-19.8893,0.31
b3lyp,aug-cc-pvdz,B,23,-6.8561,-7.1960,0.03
b3lyp,aug-cc-pvdz,Be,23,-4.0887,-4.3361,0.01
b3lyp,aug-cc-pvdz,C,23,-10.3457,-10.7658,0.08
b3lyp,aug-cc-pvdz,F,23,-24.7901,-25.4317,0.53
b3lyp,aug-cc-pvdz,Li,23,-2.0259,-2.1679,0.00
b3lyp,aug-cc-pvdz,N,23,-14.4652,-14.9587,0.17
b3lyp,aug-cc-pvdz,Ne,23,-31.0100,-31.7230,0.84
b3lyp,aug-cc-pvdz,O,23,-19.3155,-19.8893,0.31
b3lyp,aug-cc-pvtz,B,46,-6.8514,-7.1960,0.03
b3lyp,aug-cc-pvtz,Be,46,-4.0861,-4.3361,0.01
b3lyp,aug-cc-pvtz,C,46,-10.3343,-10.7658,0.08
b3lyp,aug-cc-pvtz,F,46,-24.7649,-25.4317,0.53
b3lyp,aug-cc-pvtz,Li,46,-2.0224,-2.1679,0.00
b3lyp,aug-cc-pvtz,N,46,-14.4481,-14.9587,0.17
b3lyp,aug-cc-pvtz,Ne,46,-30.9781,-31.7230,0.84
b3lyp,aug-cc-pvtz,O,46,-19.2943,-19.8893,0.31
b3lyp,def2-tzvpd,B,37,-6.8473,-7.1960,0.03
b3lyp,def2-tzvpd,Be,22,-4.0833,-4.3361,0.01
